,state,year,days_with_aqi,max_aqi,90th_percentile_aqi,median_aqi,pct_good_days,pct_moderate_days,pct_unhealthy_for_sensitive_groups_days,pct_unhealthy_days,pct_very_unhealthy_days,pct_hazardous_days,pct_days_co,pct_days_no2,pct_days_ozone,pct_days_pm2.5,pct_days_pm10,pct_bad_days
609,Montana,2011,285.3888888888889,95.83333333333331,49.66666666666666,27.5,0.8521594161449534,0.1358656013135771,1.06042809217018,0.0013707016197676,0.0,0.0,0.0039229526786646,0.004262214193721,0.1787720984794459,0.6979473332475704,0.115095401400598,0.1478405838550466
610,Montana,2012,278.57894736842104,116.36842105263158,58.89473684210526,28.36842105263158,0.8114731473242627,0.1698806919342328,1.13038726387446,0.0067475809960099,0.0005947071067499,0.0,0.0001438021282714,0.0059985667536632,0.2341098720391515,0.6943058480353393,0.0654419110435742,0.1885268526757373
611,Montana,2013,298.7894736842105,91.21052631578948,48.31578947368421,27.68421052631579,0.8724814770743491,0.120383397588519,0.61257525901959,0.0010093727469358,0.0,0.0,0.0,0.0027397260273972,0.2919399143165283,0.637309574877633,0.0680107847784414,0.1275185229256508
612,Montana,2014,304.8421052631579,111.94736842105264,49.36842105263158,27.105263157894736,0.8680361158843365,0.1258447873271644,0.5671214941915099,0.000447881846584,0.0,0.0,0.0,0.0028839221341023,0.2907657715080023,0.6278330556712577,0.0785172506866375,0.1319638841156636
613,Montana,2015,307.7894736842105,172.21052631578948,53.94736842105263,28.473684210526315,0.8418407588324507,0.1303855835337677,1.45442580707699,0.0127853084195693,0.0004440911434422,0.0,0.0014419610670511,0.0044700793078586,0.2724442271386563,0.6412088768712781,0.0804348556151558,0.1581592411675493
614,Montana,2016,307.94736842105266,116.6842105263158,45.73684210526316,26.73684210526316,0.8881321669342664,0.1032895741636527,0.77031553522576,0.0007313014215516,0.0,0.0001438021282714,0.0004314063848144,0.0037388553350589,0.3019844693701466,0.6204366433578441,0.0734086255521357,0.1118678330657335
615,Montana,2017,303.1111111111111,166.33333333333334,63.72222222222222,29.22222222222222,0.8067871922264228,0.1653314053926205,1.7235501867399,0.0092603183210153,0.0012303990764651,0.0001551831160769,0.0003044140030441,0.0035028750211398,0.2812380660168344,0.6734845805063642,0.0414700644526174,0.1932128077735771
616,Montana,2018,308.89473684210526,140.42105263157896,55.26315789473684,29.473684210526315,0.8354972408183088,0.1476509438675113,1.30903518978466,0.0037614634163331,0.0,0.0,0.0,0.0012997676840503,0.2996013514752915,0.6650565980510346,0.0340422827896236,0.1645027591816912
617,Montana,2019,304.7368421052632,94.63157894736842,45.89473684210526,26.42105263157895,0.8996400742335801,0.0987349312131351,0.13005533131983,0.0003244412400865,0.0,0.0,0.0005767844268204,0.0036060910970788,0.301411961727875,0.6567508135752275,0.0376543491729981,0.1003599257664199
618,Montana,2020,303.89473684210526,149.68421052631578,47.94736842105263,25.894736842105264,0.8751566159620849,0.1094439036213868,0.7844376541447399,0.0068360932337233,0.0005752085130859,0.0001438021282714,0.0004314063848144,0.0014380212827149,0.3061864506808573,0.6435748662853951,0.048369255366218,0.124843384037915
619,Montana,2021,304.8421052631579,151.21052631578948,68.15789473684211,30.210526315789476,0.7872444266908485,0.1769868236080978,2.795973323835,0.0078090164627036,0.0,0.0,0.0002883922134102,0.0010121922238825,0.2882901162507309,0.679381750524958,0.0310275487870183,0.2127555733091515
620,Montana,2022,242.46666666666667,84.26666666666667,46.86666666666667,31.53333333333333,0.9151915629661398,0.0831623464988808,0.13717421124828,0.0002743484224965,0.0,0.0,0.0002732240437158,0.000824178938657,0.4424555809009094,0.4872905798836574,0.0691564362330602,0.0848084370338602
621,Nebraska,2000,144.41666666666666,91.66666666666669,56.833333333333336,30.5,0.7920766135532312,0.2046085002800233,0.33148861667454,0.0,0.0,0.0,0.0280054644808743,0.0,0.0664845173041894,0.7716468967968368,0.1338631214180994,0.2079233864467687
622,Nebraska,2001,161.0,83.75,53.66666666666666,30.166666666666668,0.8111362988766273,0.1871642955922276,0.16994055311449,0.0,0.0,0.0,0.0319634703196347,0.0,0.06324200913242,0.7489738782173925,0.1558206423305528,0.1888637011233726
623,Nebraska,2002,149.35714285714286,77.92857142857143,51.21428571428572,26.357142857142858,0.8448193999104189,0.1547892106570958,0.03913894324853,0.0,0.0,0.0,0.0258317025440313,0.0,0.0569471624266144,0.7837946933837345,0.1334264416456197,0.1551806000895811
624,Nebraska,2003,157.75,96.58333333333331,54.333333333333336,28.5,0.8188670597682272,0.1792980242915486,0.1606605437941,0.0002283105022831,0.0,0.0,0.0271689497716895,0.0,0.0636986301369863,0.7458041459111664,0.1633282741801577,0.1811329402317728
625,Nebraska,2004,166.91666666666666,86.08333333333333,49.91666666666666,28.33333333333333,0.8668100791135288,0.1308099504427828,0.23799704436883,0.0,0.0,0.0,0.0257285974499089,0.0,0.0753642987249544,0.7418525588242634,0.1570545450008733,0.1331899208864712
626,Nebraska,2005,171.75,93.33333333333331,56.083333333333336,29.166666666666668,0.8042686533256681,0.1902135439805181,0.55178026938138,0.0,0.0,0.0,0.0236417726455086,0.0,0.0650728958325471,0.7563101696974673,0.1549751618244768,0.195731346674332
627,Nebraska,2006,175.25,94.66666666666669,51.5,28.08333333333333,0.8445541064290075,0.1516549879393334,0.27492389649923,0.0,0.0010416666666666,0.0,0.0244292237442922,0.0,0.1399543378995433,0.6655251141552512,0.1700913242009132,0.1554458935709924
628,Nebraska,2007,158.30769230769232,86.0,54.15384615384615,31.384615384615383,0.8231483255648288,0.1725792738662675,0.42724005689037003,0.0,0.0,0.0,0.0229494262643433,0.0,0.2013768491404153,0.6190878447216902,0.1565858798735511,0.1768516744351712
629,Nebraska,2008,171.23076923076923,77.46153846153847,51.61538461538461,30.76923076923077,0.8230392637896624,0.1734469173788958,0.35138188314417,0.0,0.0,0.0,0.0220680958385876,0.0,0.1937788986969315,0.617696511139134,0.1664564943253468,0.1769607362103376
630,Nebraska,2009,187.33333333333331,93.75,45.66666666666666,26.0,0.900069654932958,0.0976679162263853,0.18058078360904,0.0002283105022831,0.0002283105022831,0.0,0.0237442922374429,0.0,0.2337899543378995,0.5618721461187214,0.180593607305936,0.099930345067042
631,Nebraska,2010,210.27272727272728,101.1818181818182,50.54545454545455,29.818181818181817,0.8534644393281535,0.1419713739851323,0.42690273006457,0.0002951593860684,0.0,0.0,0.0250488245680369,0.0,0.2249152394266295,0.5326013158309872,0.2174346201743462,0.1465355606718465
632,Nebraska,2011,218.72727272727272,88.54545454545455,51.81818181818182,30.272727272727277,0.8405091546315695,0.1582075876759626,0.12832576924678,0.0,0.0,0.0,0.0278953922789539,0.0,0.2258317025440313,0.5360611990748977,0.210211706102117,0.1594908453684305
633,Nebraska,2012,221.45454545454547,95.9090909090909,58.18181818181818,33.36363636363637,0.7919921879644768,0.2001430687375375,0.74811606359219,0.0003835826620636,0.0,0.0,0.0076287349014621,0.0,0.2495956507539446,0.52121575344047,0.2215598609041232,0.2080078120355231
634,Nebraska,2013,205.3636363636364,82.9090909090909,49.54545454545455,27.0,0.8718242113810117,0.1260507144871898,0.21250741317984,0.0,0.0,0.0,0.0,0.0,0.1987953733809498,0.6024499566315034,0.1987546699875467,0.1281757886189882
635,Nebraska,2014,201.3636363636364,82.0909090909091,46.72727272727273,25.454545454545453,0.904194149814228,0.094900251386215,0.09055987995569001,0.0,0.0,0.0,0.0,0.0,0.2064005263281562,0.6055546417913955,0.1880448318804483,0.095805850185772
636,Nebraska,2015,209.0,84.36363636363636,44.09090909090909,26.0,0.906497732837035,0.0927466023225471,0.07556648404178,0.0,0.0,0.0,0.0002490660024906,0.0,0.201968671123135,0.6132243550287952,0.1845579078455791,0.093502267162965
637,Nebraska,2016,212.8,78.2,44.4,25.4,0.9304233615000156,0.0681842520372024,0.13923864627818,0.0,0.0,0.0,0.0,0.0,0.2313265498398341,0.5659412097230073,0.2027322404371584,0.0695766384999842
638,Nebraska,2017,237.77777777777777,89.33333333333333,48.77777777777778,28.88888888888889,0.8819674534852675,0.1170492623456075,0.09832841691248,0.0,0.0,0.0,0.0,0.0,0.2437510569930661,0.6393539658379841,0.1168949771689497,0.1180325465147324
639,Nebraska,2018,239.33333333333331,82.0,47.77777777777778,28.0,0.8933960984693701,0.1053862455184533,0.12176560121765,0.0,0.0,0.0,0.0,0.0,0.2603413860843827,0.6248945347679764,0.1147640791476408,0.1066039015306299
640,Nebraska,2019,237.88888888888889,68.22222222222223,41.66666666666666,24.88888888888889,0.9370436753768088,0.0629563246231911,0.0,0.0,0.0,0.0,0.0,0.0,0.270409479113817,0.6157396837476745,0.1138508371385083,0.0629563246231911
641,Nebraska,2020,280.8888888888889,98.22222222222224,44.11111111111112,25.22222222222222,0.9189054540572352,0.0789847860091332,0.18061776628361,0.0003035822707953,0.0,0.0,0.0006071645415907,0.0,0.2533813897608805,0.6276143600873284,0.1183970856102003,0.0810945459427648
642,Nebraska,2021,278.5,106.6,50.0,29.1,0.8641605011465107,0.1304566161566939,0.53828826967954,0.0,0.0,0.0,0.0,0.0,0.2419108596386738,0.6523357157037919,0.1057534246575342,0.1358394988534894
643,Nebraska,2022,249.22222222222223,80.88888888888889,42.66666666666666,25.22222222222222,0.934571770837365,0.0650227141585799,0.040551500405510005,0.0,0.0,0.0,0.0004055150040551,0.0,0.3063914856077745,0.578442253240563,0.1147607461476074,0.0654282291626351
644,Nevada,2000,342.85714285714283,156.71428571428572,70.14285714285714,40.142857142857146,0.7013558294699348,0.2679211282984592,2.9527119714677,0.0008056024544777,0.0,0.0003903200624512,0.0398126463700234,0.0140515222482435,0.5991032704123972,0.0563308522348402,0.2907017087344956,0.2986441705300652
645,Nevada,2001,350.7142857142857,123.28571428571428,68.57142857142857,40.57142857142857,0.7104969771437515,0.2468018831906008,4.07441925032211,0.0019569471624266,0.0,0.0,0.0180470422064444,0.0176125244618395,0.610031813868987,0.0591335064321601,0.2951751130305688,0.2895030228562485
